id,razao_social,nome_fantasia,responsavel_id,sector_id,status,observacoes,created_at,cnpj,situacao,data_situacao,inicio_atividades,natureza_juridica,porte,capital_social,simples_nacional,mei,cnae_principal,cnaes_secundarios,logradouro,numero,complemento,bairro,municipio,uf,cep,telefone1,telefone2,email,socios,company_number
"610f0a7c-ea30-4c94-b498-32917df6a69b","24INFORMATICA LTDA","24 INFORMATICA","","","ativo","","2026-05-26T20:00:41.899394+00:00","78.040.300/0001-91","ATIVA","2004-04-09","1984-03-19","Sociedade Empresária Limitada","EMPRESA DE PEQUENO PORTE","40000","Sim","Não","4751201 - Comércio varejista especializado de equipamentos e suprimentos de informática","4752100 - Comércio varejista especializado de equipamentos de telefonia e comunicação | 4753900 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo | 4757100 - Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação","24 DE MAIO","","","CENTRO","CURITIBA","PR","80230-080","(41) 32251430","","","ANTONIO DA SILVA MUNARETTO (Sócio-Administrador)",""
"8c3d13cc-9470-4ee0-9f05-f88aaa2a2796","24MAIS - TECNOLOGIA LTDA","","","","ativo","","2026-05-26T20:00:41.899394+00:00","20.606.244/0001-20","ATIVA","2014-07-03","2014-07-03","Sociedade Empresária Limitada","MICRO EMPRESA","100000","Sim","Não","4751201 - Comércio varejista especializado de equipamentos e suprimentos de informática","4752100 - Comércio varejista especializado de equipamentos de telefonia e comunicação | 4753900 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo | 4757100 - Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação | 9511800 - Reparação e manutenção de computadores e de equipamentos periféricos","VINTE E QUATRO DE MAIO","","","CENTRO","CURITIBA","PR","80230-080","(41) 32251430","","","ANTONIO DA SILVA MUNARETTO (Sócio) | VERA LUCIA BASTOS COELHO MUNARETTO (Sócio-Administrador)",""
"80729de4-0c28-4970-a6e1-d4113ec60f76","35.347.261 ANDRE GAMBA","","","","ativo","","2026-05-26T20:00:41.899394+00:00","35.347.261/0001-67","ATIVA","2019-10-29","2019-10-29","Empresário (Individual)","MICRO EMPRESA","50","Sim","Não","5611201 - Restaurantes e similares","5620104 - Fornecimento de alimentos preparados preponderantemente para consumo domiciliar | 8599699 - Outras atividades de ensino não especificadas anteriormente | 8599604 - Treinamento em desenvolvimento profissional e gerencial | 2539001 - Serviços de usinagem, tornearia e solda | 4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal | 8219999 - Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente | 3321000 - Instalação de máquinas e equipamentos industriais","","","","EMBU","COLOMBO","PR","83414-730","","","","",""
"148003d9-418a-407e-80cb-90d51607e358","3A PIZZARIA TOLEDO LTDA","3A PIZZARIA TOLEDO","","","ativo","","2026-05-26T20:00:41.899394+00:00","65.148.668/0001-26","ATIVA","2026-02-12","2026-02-12","Sociedade Empresária Limitada","MICRO EMPRESA","30000","Sim","Não","5620104 - Fornecimento de alimentos preparados preponderantemente para consumo domiciliar","4723700 - Comércio varejista de bebidas","DOS PIONEIROS","","SALA 02","VILA PIONEIRO","TOLEDO","PR","85910-080","(45) 20316490","(00) 0000000000","","ANDRE CARLOS TESTA (Sócio-Administrador) | ANGELO FELIPE TESTA (Sócio-Administrador) | ARTHUR LIMA PAGNOZZI (Sócio-Administrador)",""
"fe0a261f-0c37-476e-b39d-a3801105331a","44.821.170 ROMEU CARVALHO ASSUNCAO","","","","ativo","","2026-05-26T20:00:24.389738+00:00","44.821.170/0001-02","ATIVA","2022-01-11","2022-01-11","Empresário (Individual)","MICRO EMPRESA","5000","Sim","Não","4321500 - Instalação e manutenção elétrica","","","","","MARIA ANTONIETA","PINHAIS","PR","83331-250","","","","",""
"19c9f2bb-50e9-468b-a4c0-f6ea4c8faf07","52.106.633 MARLON ARNONE DO NASCIMENTO","","","","ativo","","2026-05-26T20:00:41.899394+00:00","52.106.633/0001-82","ATIVA","2023-09-07","2023-09-07","Empresário (Individual)","MICRO EMPRESA","1000","Sim","Não","4763603 - Comércio varejista de bicicletas e triciclos; peças e acessórios","4785701 - Comércio varejista de antigüidades","","","","ARRUDA","COLOMBO","PR","83401-030","","","","",""
"9f635e7a-bb4f-4849-ac31-076e8a076702","A SOUZA ACABAMENTOS NA CONSTRUCAO CIVIL LTDA","","","","ativo","","2026-05-26T20:00:41.899394+00:00","80.031.743/0001-68","ATIVA","2004-10-30","1987-05-07","Sociedade Empresária Limitada","MICRO EMPRESA","20000","Sim","Não","4330499 - Outras obras de acabamento da construção","","SANTA BERNADETHE","","BLOCO 01 ANDAR 03 APT 34","PORTAO","CURITIBA","PR","81010-310","(41) 30143890","","","ADEMAR ALVES DE SOUZA (Sócio-Administrador)",""
"9ebe2472-1d25-4971-979f-639be2795553","ABRAAO SOUSA RODRIGUES","J. R. POLMEROS","","","ativo","","2026-05-26T20:00:41.899394+00:00","19.415.284/0001-05","ATIVA","2013-10-28","2013-10-28","Empresário (Individual)","MICRO EMPRESA","20000","Não","Não","4687702 - Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão","","","","","ATUBA83326030","PINHAIS","PR","83326-030","","","","",""
"c2a26ed0-b2ae-4162-ac1c-813168ea7592","ACIDATO VIDROS ESPECIAIS LTDA","ACIDATO VIDROS","","","ativo","","2026-05-26T20:00:41.899394+00:00","37.584.490/0001-20","ATIVA","2020-06-29","2020-06-29","Sociedade Empresária Limitada","EMPRESA DE PEQUENO PORTE","100000","Não","Não","4679603 - Comércio atacadista de vidros, espelhos, vitrais e molduras","","HEITOR STOCKLER DE FRANCA","","CONJ 1407 ANDAR 14 COND NEO SUPER QUADRA ED BLOCO NEO SUPER QUADRA TOR","CENTRO CIVICO","CURITIBA","PR","80030-030","(41) 99812480","","","DOUGLAS ALVES SKORA (Sócio-Administrador)",""
"f5d5d203-e13d-4fcd-9baa-f00234b4e4ee","ADRI LIFE - CORRETORA DE SEGUROS DE VIDA LTDA","","","","ativo","","2026-05-26T20:00:41.899394+00:00","05.732.002/0001-99","ATIVA","","2003-06-13","Sociedade Empresária Limitada","MICRO EMPRESA","5000","Sim","Não","6622300 - Corretores e agentes de seguros, de planos de previdência complementar e de saúde","","PINEVILLE","","CASA 78","PINEVILLE","PINHAIS","PR","83325-585","(41) 33422050","","","ADRIANA APARECIDA DE GODOY (Sócio-Administrador) | GABRIEL DE GODOY QUEIROZ (Sócio Menor (Assistido/Representado))",""
